Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6472.398709,7885.158927,9765.909207,11392.26915,12306.71768,13495.7943,14045.47457,14938.68157,16239.98785,16439.35636,16583.87586,17927.95944,19077.68743,19355.33354,20617.75047,20670.36701,20436.88713,20833.97636,22568.37499,23300.73836,24046.22638,25834.11178,27083.63486,24631.18205,23513.5277,24985.01392,24712.49326,26441.61994,26893.01151,28396.90842,28452.17061,29350.80502,30253.27936,,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,127.6515181,130.3536425,134.6938383,142.1597688,150.8818969,161.0732943,169.4607857,181.2451065,190.5094228,208.7079878,220.512563,235.0109539,247.3974995,314.7063662,381.0676546,394.683534,385.8193222,419.8375464,447.5077152,525.2321531,666.0560803,673.7776422,623.9571203,639.6409006,577.2371279,490.3450062,541.6040033,641.2677958,657.8262219,655.7868495,696.1526459,703.6546783,682.5868506,665.2429261,659.5899024,722.1697159,701.7341974,718.8542776,660.4719664,635.1433677,672.2054736,591.0884442,589.2068235,757.4497587,916.6033667,1037.727057,1142.955902,1278.971341,1356.529948,1326.251549,1550.121225,1682.287263,1667.992618,1648.867514,1654.314865,1503.859334,1401.281053,1536.206783,1530.161917,1481.425292,1326.663658
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,58.4580087,78.70642878,82.09530653,101.1083252,137.594298,160.8984342,129.108311,129.3297604,156.5187713,159.567509,135.317228,143.1446495,173.6536247,186.5108383,197.4455076,224.2250016,247.3540878,275.7381154,272.6555102,264.1111971,,,,,,,,,,,,,,,,,,,,,179.4265792,190.6838143,211.3820742,242.0313132,263.7336019,359.6931579,364.660679,438.0761424,543.3029674,591.1627983,641.871438,637.165464,613.8565052,578.4663529,509.2201005,519.8889126,493.7565814,507.1033919,508.8084095
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,107.9637786,113.114697,118.8658374,123.4789666,131.892939,138.5668194,144.3683946,128.620051,129.6789964,143.7576353,195.4906842,169.1685289,200.2269103,241.7820753,333.2898755,377.898463,444.5042983,454.9230878,482.6184998,584.5447854,718.901922,1317.316549,1136.794683,816.1392859,656.9047755,651.7004575,585.0782923,584.2900543,561.5255977,510.5683463,594.8995996,558.5990402,547.8230707,438.2623107,376.3549208,459.3649032,495.7790364,486.5230163,484.0907416,500.4361797,502.031662,516.9279338,605.0610071,681.8823592,826.8165382,988.8393936,1224.057612,1400.086007,1666.899847,1444.201899,1655.130138,1827.518347,1936.390962,2123.392433,2166.743309,1886.248158,1666.422406,1606.978332,1695.959215,1772.339155,1714.4268
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,711.4095786,642.7681968,620.3331234,623.8153624,638.0990068,758.7450632,685.7281277,756.7679262,792.8330172,891.1492803,948.338178,,,,251.0783484,398.7909982,522.6796243,514.3851744,423.619049,387.7851241,556.8386317,527.3335285,872.4944418,982.9610078,1255.564513,1902.42215,2599.565948,3121.996085,4080.941034,3122.781599,3587.883645,4615.468219,5100.097027,5254.881126,5408.4117,4166.979833,3506.073128,4095.810057,3289.643995,2809.626088,1895.770869
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,639.4847358,639.8659094,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492,1009.977668,717.3805674,813.7902636,1033.241693,1126.683318,1281.659393,1425.124849,1846.118813,2373.579844,2673.787283,2972.743265,3595.037163,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5355.847795,5215.276752
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3238.690261,3496.532023,4218.271599,5342.16856,6320.809632,7169.101006,7151.249909,7751.843307,9127.81228,11818.47334,12378.78451,10372.78605,9610.020616,8025.207641,7728.906695,7775.614217,10361.14777,12615.12618,14304.6406,15165.28126,18878.85231,19534.26363,20549.80558,16515.6584,16235.06804,18458.17399,19016.28819,18355.62786,18895.11066,19262.30899,21854.2468,22970.51221,25067.24006,32272.84589,37966.18725,40064.22493,42674.75897,47804.84993,48719.65877,43504.21565,40850.24814,43334.81141,38686.46126,39540.72481,41303.92937,35770.7767,37475.63506,38964.90448,41791.96984,40897.33087,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,307.5869784,328.3193064,359.5469852,404.8275044,469.9740234,578.6952638,1063.545509,1143.761235,1377.560668,1536.229212,1632.798269,2138.824494,2802.494494,2801.160549,2549.407597,2324.846079,2288.086807,2198.46706,2038.489679,2112.07154,2019.827199,2060.161514,2750.960304,1857.821247,1952.888247,1925.113215,1930.002535,2044.925966,2191.201682,2309.370533,2182.007896,2377.023018,2678.314514,2536.786256,2484.845185,2696.046923,3134.872479,3765.927294,4360.06425,4963.699983,6149.711791,5180.55547,5948.674349,6870.098616,7455.041881,7505.174192,7436.580078,6346.032347,6093.331009,6095.66343,6568.984052,6570.174197,5802.104129
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,26848.08818,30117.94893,33823.18166,28457.07803,33512.63342,42764.54056,44987.53799,40025.82262,34843.15963,32309.83271,29720.89772,23467.87932,23726.30705,22295.11871,24028.2625,27729.39059,26612.25311,26420.85988,25596.73939,25848.01625,27221.93441,28975.07996,29512.67479,26899.60177,28470.88586,33291.36625,31280.75586,31567.54631,33499.10278,36333.18733,39365.45964,41907.42147,41809.46216,44498.94051,32024.19778,33893.26387,39194.67224,40976.49075,42412.6395,43751.80565,38663.4005,38141.86713,40644.79119,43839.32449,43103.33629,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,686.1870959,1127.092299,1887.320558,2560.376996,1875.286927,1948.224631,2129.708348,2146.36498,2520.920764,2758.83475,2776.322006,2927.897278,3553.377527,2659.708175,2926.126411,3613.621764,3562.87603,3985.1925,2383.867473,4333.483372,5735.359981,6823.538837,6969.119729,7483.140334,7408.708664,7721.354105,8213.125127,8289.507568,7774.736203,7708.099115,7208.373114,2593.404563,3349.8063,4277.721573,5109.852245,5919.012338,7245.446857,9020.873323,8225.137583,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11633.49801,9912.281809,8441.919439
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.8559212,590.5058756,369.7072323,357.2028486,400.5155938,456.3749333,504.0598426,523.2844107,609.1716537,597.4328988,622.7409229,694.4234554,783.241215,930.1254727,1191.921006,1643.756889,2158.148074,3139.28071,4010.861381,2994.340471,3218.378299,3525.807198,3681.844691,3838.17388,3986.231624,3607.289299,3591.828052,3914.527854,4220.540321,4622.738182,4267.452119
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8666.655382,8807.462812,8528.248777,8395.31877,8340.52344,8874.877928,9740.824491,11910.01323,10216.81763,10223.29836,11496.5241,11450.7242,11525.15639,12059.63516,12038.2497,11003.82976,11557.67116,11534.56754,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,1246.69016,1416.540531,1760.831324,2124.618526,2392.686958,2660.558091,2948.317275,3372.60207,3899.39184,4703.179401,5463.595383,6454.835451,7076.536335,7347.646369,7602.345334,7745.7218,8136.188547,8771.143727,8406.358945,9030.574978,9491.660766,9940.852228,10260.59941,10872.29295,10367.31961,10401.05088,10797.95106,11446.96914,12557.54785,13995.80442,15622.69287,16044.1058,14160.562,13048.96058,12746.63347,13272.73494,12910.59063,13501.58092,14285.32978,15198.74297,15383.5764,16673.4369,17113.34977,14449.99652
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1851.841851,1964.15047,2128.068355,2277.558398,2340.438685,2576.284509,2720.082609,2986.949507,3299.843207,3489.952294,3943.787639,4763.62839,6473.165153,6994.308218,7476.748748,7765.070544,8241.997276,9281.523356,10194.39454,11833.74321,12766.52225,11518.66852,12431.94585,11437.71314,11364.23946,11624.62096,14254.51356,17798.55637,18211.50006,18821.79526,18570.12046,17634.53475,18046.13648,20319.63063,21861.32551,23468.59683,21318.96417,20533.03506,21679.24784,19490.86111,20082.48327,23447.031,30430.67644,33999.24286,36044.92281,40960.05449,49601.65671,42772.35917,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54027.96682,57354.96405,55057.2047,51812.15404
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,935.4604269,1031.815004,1087.834243,1167.000532,1269.412583,1374.53214,1486.968606,1569.667183,1677.673528,1825.386126,149.6170815,173.035007,212.5043858,282.7430506,336.5210955,384.1135775,412.6560891,494.9649761,596.2973542,711.7743061,789.8861968,682.0242945,683.8523085,693.0858219,653.3986318,666.5779593,950.7789578,1191.35271,1277.43121,1269.504563,1575.660891,1628.622332,1808.053179,1749.982468,1863.916351,2204.01321,2166.436414,1940.725591,1988.416964,27183.47593,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47426.51196,51478.28526,50121.55421,48105.36462
